,cluster,year,month,day,datetime,maximum,site,Max PM2.5
245,7,2012.0,6.0,2.0,2012-06-02,60.0,Galveston 99th St. C1034/A320/X183,11.69833333
246,7,2012.0,6.0,3.0,2012-06-03,41.0,Conroe Relocated C78/A321,7.315
247,6,2012.0,6.0,4.0,2012-06-04,51.0,Conroe Relocated C78/A321,10.43375
248,7,2012.0,6.0,5.0,2012-06-05,69.0,Lang C408,11.1725
249,7,2012.0,6.0,6.0,2012-06-06,75.0,Northwest Harris Co. C26/A110/X154,12.69375
250,3,2012.0,6.0,7.0,2012-06-07,85.0,Houston Monroe C406,14.62958333
251,7,2012.0,6.0,8.0,2012-06-08,63.0,Houston Westhollow C410/C3003,12.73954545
252,7,2012.0,6.0,9.0,2012-06-09,76.0,Houston Croquet C409,14.49125
253,3,2012.0,6.0,10.0,2012-06-10,51.0,Conroe Relocated C78/A321,9.315416667
254,2,2012.0,6.0,11.0,2012-06-11,40.0,Conroe Relocated C78/A321,16.04478261
255,12,2012.0,6.0,12.0,2012-06-12,38.0,Conroe Relocated C78/A321,17.53375
256,13,2012.0,6.0,13.0,2012-06-13,50.0,Conroe Relocated C78/A321,16.33416667
257,2,2012.0,6.0,14.0,2012-06-14,46.0,Conroe Relocated C78/A321,11.02708333
258,1,2012.0,6.0,15.0,2012-06-15,47.0,Conroe Relocated C78/A321,9.910416667
259,1,2012.0,6.0,16.0,2012-06-16,48.0,Seabrook Friendship Park C45,10.90458333
260,5,2012.0,6.0,17.0,2012-06-17,68.0,Houston Westhollow C410/C3003,11.41291667
261,7,2012.0,6.0,18.0,2012-06-18,54.0,Northwest Harris Co. C26/A110/X154,9.251666667
262,3,2012.0,6.0,19.0,2012-06-19,33.0,Seabrook Friendship Park C45,9.7225
263,3,2012.0,6.0,20.0,2012-06-20,40.0,Houston Aldine C8/AF108/X150,10.26041667
264,2,2012.0,6.0,21.0,2012-06-21,64.0,Manvel Croix Park C84,11.735
265,11,2012.0,6.0,22.0,2012-06-22,68.0,Manvel Croix Park C84,17.53458333
266,7,2012.0,6.0,23.0,2012-06-23,67.0,Manvel Croix Park C84,20.88875
267,6,2012.0,6.0,24.0,2012-06-24,71.0,Manvel Croix Park C84,19.46681818
268,14,2012.0,6.0,25.0,2012-06-25,94.0,Manvel Croix Park C84,21.24208333
269,11,2012.0,6.0,26.0,2012-06-26,136.0,Manvel Croix Park C84,28.33208333
270,11,2012.0,6.0,27.0,2012-06-27,99.0,Northwest Harris Co. C26/A110/X154,33.805
271,8,2012.0,6.0,28.0,2012-06-28,70.0,Conroe Relocated C78/A321,35.56666667
272,12,2012.0,6.0,29.0,2012-06-29,56.0,Conroe Relocated C78/A321,18.045
273,9,2012.0,6.0,30.0,2012-06-30,31.0,Manvel Croix Park C84,17.32
274,1,2012.0,7.0,1.0,2012-07-01,29.0,Conroe Relocated C78/A321,18.91291667
275,1,2012.0,7.0,2.0,2012-07-02,46.0,Conroe Relocated C78/A321,32.0775
276,0,2012.0,7.0,3.0,2012-07-03,36.0,Conroe Relocated C78/A321,22.22375
277,1,2012.0,7.0,4.0,2012-07-04,33.0,Conroe Relocated C78/A321,19.11625
278,0,2012.0,7.0,5.0,2012-07-05,49.0,Conroe Relocated C78/A321,18.75958333
279,4,2012.0,7.0,6.0,2012-07-06,51.0,Wallisville Road C617,13.88583333
280,8,2012.0,7.0,7.0,2012-07-07,46.0,Houston Aldine C8/AF108/X150,12.0375
281,8,2012.0,7.0,8.0,2012-07-08,30.0,Conroe Relocated C78/A321,10.36666667
282,13,2012.0,7.0,9.0,2012-07-09,28.0,Conroe Relocated C78/A321,9.97
283,14,2012.0,7.0,10.0,2012-07-10,34.0,Conroe Relocated C78/A321,11.24375
284,10,2012.0,7.0,11.0,2012-07-11,25.0,Galveston 99th St. C1034/A320/X183,13.47291667
285,10,2012.0,7.0,12.0,2012-07-12,27.0,Wallisville Road C617,11.06833333
286,9,2012.0,7.0,13.0,2012-07-13,40.0,Seabrook Friendship Park C45,11.54333333
287,13,2012.0,7.0,14.0,2012-07-14,49.0,Houston Aldine C8/AF108/X150,11.315
288,13,2012.0,7.0,15.0,2012-07-15,40.0,Houston Aldine C8/AF108/X150,8.955909091
289,4,2012.0,7.0,16.0,2012-07-16,45.0,Conroe Relocated C78/A321,10.87916667
