cluster,datestring,year,month,day,max D8HO,month_string,site
12,2013-07-31,2013,7,31,50,july.csv,
12,2013-08-01,2013,8,1,68,august.csv,
12,2013-08-02,2013,8,2,64,august.csv,
12,2013-08-03,2013,8,3,45,august.csv,
12,2013-08-04,2013,8,4,38,august.csv,
12,2013-08-05,2013,8,5,40,august.csv,
12,2013-08-06,2013,8,6,37,august.csv,
12,2013-08-07,2013,8,7,41,august.csv,
13,2013-08-08,2013,8,8,53,august.csv,
15,2013-08-09,2013,8,9,79,august.csv,
13,2013-08-10,2013,8,10,54,august.csv,
12,2013-08-11,2013,8,11,47,august.csv,
12,2013-08-12,2013,8,12,46,august.csv,
12,2013-08-13,2013,8,13,48,august.csv,
13,2013-08-14,2013,8,14,57,august.csv,
14,2013-08-15,2013,8,15,58,august.csv,
14,2013-08-16,2013,8,16,94,august.csv,
14,2013-08-17,2013,8,17,80,august.csv,
14,2013-08-18,2013,8,18,69,august.csv,
13,2013-08-19,2013,8,19,78,august.csv,
14,2013-08-20,2013,8,20,51,august.csv,
9,2013-08-21,2013,8,21,54,august.csv,
8,2013-08-22,2013,8,22,54,august.csv,
9,2013-08-23,2013,8,23,65,august.csv,
5,2013-08-24,2013,8,24,56,august.csv,
8,2013-08-25,2013,8,25,38,august.csv,
12,2013-08-26,2013,8,26,29,august.csv,
8,2013-08-27,2013,8,27,52,august.csv,
4,2013-08-28,2013,8,28,83,august.csv,
12,2013-08-29,2013,8,29,78,august.csv,
12,2013-08-30,2013,8,30,78,august.csv,
13,2013-08-31,2013,8,31,84,august.csv,
15,2013-09-01,2013,9,1,48,september.csv,
10,2013-09-02,2013,9,2,39,september.csv,
10,2013-09-03,2013,9,3,57,september.csv,
14,2013-09-04,2013,9,4,62,september.csv,
12,2013-09-05,2013,9,5,49,september.csv,
12,2013-09-06,2013,9,6,45,september.csv,
9,2013-09-07,2013,9,7,36,september.csv,
5,2013-09-08,2013,9,8,43,september.csv,
2,2013-09-09,2013,9,9,46,september.csv,
2,2013-09-10,2013,9,10,46,september.csv,
5,2013-09-11,2013,9,11,51,september.csv,
5,2013-09-12,2013,9,12,66,september.csv,
6,2013-09-13,2013,9,13,66,september.csv,
3,2013-09-14,2013,9,14,64,september.csv,
3,2013-09-15,2013,9,15,35,september.csv,
6,2013-09-16,2013,9,16,38,september.csv,
5,2013-09-17,2013,9,17,43,september.csv,
2,2013-09-18,2013,9,18,47,september.csv,
3,2013-09-19,2013,9,19,27,september.csv,
3,2013-09-20,2013,9,20,24,september.csv,
7,2013-09-21,2013,9,21,36,september.csv,
7,2013-09-22,2013,9,22,48,september.csv,
3,2013-09-23,2013,9,23,71,september.csv,
3,2013-09-24,2013,9,24,51,september.csv,
7,2013-09-25,2013,9,25,89,september.csv,
3,2013-09-26,2013,9,26,89,september.csv,
3,2013-09-27,2013,9,27,63,september.csv,
3,2013-09-28,2013,9,28,55,september.csv,
10,2013-09-29,2013,9,29,38,september.csv,
11,2013-09-30,2013,9,30,43,september.csv,
7,2014-06-01,2014,6,1,44,june.csv,
3,2014-06-02,2014,6,2,37,june.csv,
10,2014-06-03,2014,6,3,34,june.csv,
6,2014-06-04,2014,6,4,56,june.csv,
7,2014-06-05,2014,6,5,37,june.csv,
3,2014-06-06,2014,6,6,47,june.csv,
