cluster,year,month,day,date,maximum,site
0,2013,7,22,2013-07-22,31,Conroe Relocated C78/A321
8,2013,7,23,2013-07-23,29,Conroe Relocated C78/A321
13,2013,7,24,2013-07-24,40,Wallisville Road C617
13,2013,7,25,2013-07-25,67,HRM-3 Haden Road C603/A114
12,2013,7,26,2013-07-26,36,Conroe Relocated C78/A321
12,2013,7,27,2013-07-27,41,Wallisville Road C617
15,2013,7,28,2013-07-28,38,Conroe Relocated C78/A321
0,2013,7,29,2013-07-29,42,Conroe Relocated C78/A321
12,2013,7,30,2013-07-30,46,Conroe Relocated C78/A321
12,2013,7,31,2013-07-31,47,Wallisville Road C617
12,2013,8,1,2013-08-01,68,Hou.DeerPrk2 C35/235/1001/AFH139FP239
12,2013,8,2,2013-08-02,64,Conroe Relocated C78/A321
12,2013,8,3,2013-08-03,45,Conroe Relocated C78/A321
12,2013,8,4,2013-08-04,38,Conroe Relocated C78/A321
12,2013,8,5,2013-08-05,40,Conroe Relocated C78/A321
12,2013,8,6,2013-08-06,34,Conroe Relocated C78/A321
12,2013,8,7,2013-08-07,39,Conroe Relocated C78/A321
13,2013,8,8,2013-08-08,53,Conroe Relocated C78/A321
15,2013,8,9,2013-08-09,73,Conroe Relocated C78/A321
