cluster,date,year,month
3,2013-09-15,2013,9
6,2013-09-16,2013,9
5,2013-09-17,2013,9
2,2013-09-18,2013,9
3,2013-09-19,2013,9
3,2013-09-20,2013,9
7,2013-09-21,2013,9
7,2013-09-22,2013,9
3,2013-09-23,2013,9
3,2013-09-24,2013,9
7,2013-09-25,2013,9
3,2013-09-26,2013,9
3,2013-09-27,2013,9
3,2013-09-28,2013,9
10,2013-09-29,2013,9
11,2013-09-30,2013,9
7,2014-06-01,2014,6
3,2014-06-02,2014,6
10,2014-06-03,2014,6
6,2014-06-04,2014,6
7,2014-06-05,2014,6
3,2014-06-06,2014,6
3,2014-06-07,2014,6
3,2014-06-08,2014,6
3,2014-06-09,2014,6
3,2014-06-10,2014,6
7,2014-06-11,2014,6
7,2014-06-12,2014,6
11,2014-06-13,2014,6
7,2014-06-14,2014,6
3,2014-06-15,2014,6
1,2014-06-16,2014,6
0,2014-06-17,2014,6
0,2014-06-18,2014,6
0,2014-06-19,2014,6
0,2014-06-20,2014,6
0,2014-06-21,2014,6
2,2014-06-22,2014,6
2,2014-06-23,2014,6
15,2014-06-24,2014,6
0,2014-06-25,2014,6
0,2014-06-26,2014,6
2,2014-06-27,2014,6
2,2014-06-28,2014,6
0,2014-06-29,2014,6
12,2014-06-30,2014,6
0,2014-07-01,2014,7
5,2014-07-02,2014,7
9,2014-07-03,2014,7
12,2014-07-04,2014,7
12,2014-07-05,2014,7
12,2014-07-06,2014,7
13,2014-07-07,2014,7
0,2014-07-08,2014,7
12,2014-07-09,2014,7
4,2014-07-10,2014,7
0,2014-07-11,2014,7
12,2014-07-12,2014,7
12,2014-07-13,2014,7
12,2014-07-14,2014,7
13,2014-07-15,2014,7
15,2014-07-16,2014,7
11,2014-07-17,2014,7
15,2014-07-18,2014,7
15,2014-07-19,2014,7
12,2014-07-20,2014,7
12,2014-07-21,2014,7
12,2014-07-22,2014,7
12,2014-07-23,2014,7
12,2014-07-24,2014,7
13,2014-07-25,2014,7
12,2014-07-26,2014,7
12,2014-07-27,2014,7
12,2014-07-28,2014,7
12,2014-07-29,2014,7
12,2014-07-30,2014,7
13,2014-07-31,2014,7
13,2014-08-01,2014,8
14,2014-08-02,2014,8
13,2014-08-03,2014,8
13,2014-08-04,2014,8
13,2014-08-05,2014,8
12,2014-08-06,2014,8
12,2014-08-07,2014,8
15,2014-08-08,2014,8
4,2014-08-09,2014,8
8,2014-08-10,2014,8
13,2014-08-11,2014,8
13,2014-08-12,2014,8
13,2014-08-13,2014,8
13,2014-08-14,2014,8
13,2014-08-15,2014,8
13,2014-08-16,2014,8
12,2014-08-17,2014,8
8,2014-08-18,2014,8
15,2014-08-19,2014,8
2,2014-08-20,2014,8
0,2014-08-21,2014,8
12,2014-08-22,2014,8
8,2014-08-23,2014,8
0,2014-08-24,2014,8
5,2014-08-25,2014,8
9,2014-08-26,2014,8
13,2014-08-27,2014,8
13,2014-08-28,2014,8
10,2014-08-29,2014,8
6,2014-08-30,2014,8
0,2014-08-31,2014,8
0,2014-09-01,2014,9
1,2014-09-02,2014,9
1,2014-09-03,2014,9
1,2014-09-04,2014,9
0,2014-09-05,2014,9
4,2014-09-06,2014,9
9,2014-09-07,2014,9
10,2014-09-08,2014,9
0,2014-09-09,2014,9
2,2014-09-10,2014,9
6,2014-09-11,2014,9
6,2014-09-12,2014,9
6,2014-09-13,2014,9
5,2014-09-14,2014,9
4,2014-09-15,2014,9
8,2014-09-16,2014,9
15,2014-09-17,2014,9
7,2014-09-18,2014,9
3,2014-09-19,2014,9
3,2014-09-20,2014,9
11,2014-09-21,2014,9
15,2014-09-22,2014,9
14,2014-09-23,2014,9
14,2014-09-24,2014,9
9,2014-09-25,2014,9
9,2014-09-26,2014,9
6,2014-09-27,2014,9
3,2014-09-28,2014,9
6,2014-09-29,2014,9
3,2014-09-30,2014,9
11,2015-06-01,2015,6
15,2015-06-02,2015,6
11,2015-06-03,2015,6
7,2015-06-04,2015,6
6,2015-06-05,2015,6
10,2015-06-06,2015,6
6,2015-06-07,2015,6
6,2015-06-08,2015,6
11,2015-06-09,2015,6
7,2015-06-10,2015,6
3,2015-06-11,2015,6
3,2015-06-12,2015,6
3,2015-06-13,2015,6
3,2015-06-14,2015,6
3,2015-06-15,2015,6
1,2015-06-16,2015,6
0,2015-06-17,2015,6
1,2015-06-18,2015,6
15,2015-06-19,2015,6
0,2015-06-20,2015,6
0,2015-06-21,2015,6
12,2015-06-22,2015,6
12,2015-06-23,2015,6
12,2015-06-24,2015,6
12,2015-06-25,2015,6
12,2015-06-26,2015,6
13,2015-06-27,2015,6
15,2015-06-28,2015,6
15,2015-06-29,2015,6
15,2015-06-30,2015,6
4,2015-07-01,2015,7
4,2015-07-02,2015,7
15,2015-07-03,2015,7
15,2015-07-04,2015,7
0,2015-07-05,2015,7
0,2015-07-06,2015,7
12,2015-07-07,2015,7
0,2015-07-08,2015,7
0,2015-07-09,2015,7
0,2015-07-10,2015,7
8,2015-07-11,2015,7
12,2015-07-12,2015,7
12,2015-07-13,2015,7
14,2015-07-14,2015,7
10,2015-07-15,2015,7
4,2015-07-16,2015,7
4,2015-07-17,2015,7
0,2015-07-18,2015,7
12,2015-07-19,2015,7
12,2015-07-20,2015,7
14,2015-07-21,2015,7
1,2015-07-22,2015,7
0,2015-07-23,2015,7
12,2015-07-24,2015,7
12,2015-07-25,2015,7
12,2015-07-26,2015,7
13,2015-07-27,2015,7
0,2015-07-28,2015,7
12,2015-07-29,2015,7
12,2015-07-30,2015,7
12,2015-07-31,2015,7
12,2015-08-01,2015,8
14,2015-08-02,2015,8
10,2015-08-03,2015,8
15,2015-08-04,2015,8
12,2015-08-05,2015,8
12,2015-08-06,2015,8
13,2015-08-07,2015,8
0,2015-08-08,2015,8
8,2015-08-09,2015,8
12,2015-08-10,2015,8
13,2015-08-11,2015,8
12,2015-08-12,2015,8
12,2015-08-13,2015,8
12,2015-08-14,2015,8
12,2015-08-15,2015,8
13,2015-08-16,2015,8
14,2015-08-17,2015,8
0,2015-08-18,2015,8
3,2015-08-19,2015,8
7,2015-08-20,2015,8
0,2015-08-21,2015,8
0,2015-08-22,2015,8
0,2015-08-23,2015,8
12,2015-08-24,2015,8
12,2015-08-25,2015,8
12,2015-08-26,2015,8
12,2015-08-27,2015,8
13,2015-08-28,2015,8
14,2015-08-29,2015,8
13,2015-08-30,2015,8
14,2015-08-31,2015,8
4,2015-09-01,2015,9
8,2015-09-02,2015,9
13,2015-09-03,2015,9
6,2015-09-04,2015,9
0,2015-09-05,2015,9
8,2015-09-06,2015,9
13,2015-09-07,2015,9
14,2015-09-08,2015,9
11,2015-09-09,2015,9
11,2015-09-10,2015,9
11,2015-09-11,2015,9
11,2015-09-12,2015,9
11,2015-09-13,2015,9
7,2015-09-14,2015,9
0,2015-09-15,2015,9
0,2015-09-16,2015,9
8,2015-09-17,2015,9
6,2015-09-18,2015,9
7,2015-09-19,2015,9
7,2015-09-20,2015,9
11,2015-09-21,2015,9
11,2015-09-22,2015,9
10,2015-09-23,2015,9
6,2015-09-24,2015,9
10,2015-09-25,2015,9
11,2015-09-26,2015,9
7,2015-09-27,2015,9
7,2015-09-28,2015,9
7,2015-09-29,2015,9
7,2015-09-30,2015,9
3,2016-06-01,2016,6
3,2016-06-02,2016,6
11,2016-06-03,2016,6
11,2016-06-04,2016,6
7,2016-06-05,2016,6
7,2016-06-06,2016,6
7,2016-06-07,2016,6
7,2016-06-08,2016,6
7,2016-06-09,2016,6
2,2016-06-10,2016,6
0,2016-06-11,2016,6
12,2016-06-12,2016,6
12,2016-06-13,2016,6
0,2016-06-14,2016,6
0,2016-06-15,2016,6
0,2016-06-16,2016,6
12,2016-06-17,2016,6
13,2016-06-18,2016,6
12,2016-06-19,2016,6
12,2016-06-20,2016,6
12,2016-06-21,2016,6
12,2016-06-22,2016,6
12,2016-06-23,2016,6
12,2016-06-24,2016,6
8,2016-06-25,2016,6
8,2016-06-26,2016,6
12,2016-06-27,2016,6
12,2016-06-28,2016,6
13,2016-06-29,2016,6
13,2016-06-30,2016,6
14,2016-07-01,2016,7
12,2016-07-02,2016,7
12,2016-07-03,2016,7
12,2016-07-04,2016,7
12,2016-07-05,2016,7
12,2016-07-06,2016,7
12,2016-07-07,2016,7
12,2016-07-08,2016,7
12,2016-07-09,2016,7
12,2016-07-10,2016,7
0,2016-07-11,2016,7
0,2016-07-12,2016,7
8,2016-07-13,2016,7
12,2016-07-14,2016,7
12,2016-07-15,2016,7
12,2016-07-16,2016,7
8,2016-07-17,2016,7
12,2016-07-18,2016,7
12,2016-07-19,2016,7
12,2016-07-20,2016,7
12,2016-07-21,2016,7
12,2016-07-22,2016,7
12,2016-07-23,2016,7
8,2016-07-24,2016,7
12,2016-07-25,2016,7
13,2016-07-26,2016,7
13,2016-07-27,2016,7
13,2016-07-28,2016,7
9,2016-07-29,2016,7
4,2016-07-30,2016,7
0,2016-07-31,2016,7
4,2016-08-01,2016,8
12,2016-08-02,2016,8
12,2016-08-03,2016,8
12,2016-08-04,2016,8
13,2016-08-05,2016,8
9,2016-08-06,2016,8
9,2016-08-07,2016,8
9,2016-08-08,2016,8
10,2016-08-09,2016,8
0,2016-08-10,2016,8
12,2016-08-11,2016,8
12,2016-08-12,2016,8
15,2016-08-13,2016,8
11,2016-08-14,2016,8
10,2016-08-15,2016,8
4,2016-08-16,2016,8
8,2016-08-17,2016,8
8,2016-08-18,2016,8
0,2016-08-19,2016,8
1,2016-08-20,2016,8
7,2016-08-21,2016,8
0,2016-08-22,2016,8
0,2016-08-23,2016,8
12,2016-08-24,2016,8
12,2016-08-25,2016,8
4,2016-08-26,2016,8
0,2016-08-27,2016,8
9,2016-08-28,2016,8
9,2016-08-29,2016,8
9,2016-08-30,2016,8
10,2016-08-31,2016,8
10,2016-09-01,2016,9
15,2016-09-02,2016,9
15,2016-09-03,2016,9
0,2016-09-04,2016,9
0,2016-09-05,2016,9
0,2016-09-06,2016,9
12,2016-09-07,2016,9
12,2016-09-08,2016,9
13,2016-09-09,2016,9
13,2016-09-10,2016,9
12,2016-09-11,2016,9
12,2016-09-12,2016,9
1,2016-09-13,2016,9
4,2016-09-14,2016,9
12,2016-09-15,2016,9
0,2016-09-16,2016,9
0,2016-09-17,2016,9
13,2016-09-18,2016,9
13,2016-09-19,2016,9
12,2016-09-20,2016,9
12,2016-09-21,2016,9
13,2016-09-22,2016,9
1,2016-09-23,2016,9
1,2016-09-24,2016,9
1,2016-09-25,2016,9
5,2016-09-26,2016,9
10,2016-09-27,2016,9
11,2016-09-28,2016,9
14,2016-09-29,2016,9
12,2016-09-30,2016,9
2,2017-06-01,2017,6
3,2017-06-02,2017,6
3,2017-06-03,2017,6
7,2017-06-04,2017,6
7,2017-06-05,2017,6
7,2017-06-06,2017,6
7,2017-06-07,2017,6
11,2017-06-08,2017,6
7,2017-06-09,2017,6
7,2017-06-10,2017,6
3,2017-06-11,2017,6
1,2017-06-12,2017,6
1,2017-06-13,2017,6
2,2017-06-14,2017,6
0,2017-06-15,2017,6
14,2017-06-16,2017,6
11,2017-06-17,2017,6
7,2017-06-18,2017,6
7,2017-06-19,2017,6
10,2017-06-20,2017,6
11,2017-06-21,2017,6
