Date,C1_3,C8_3,C35_3,C45_3,C78_3,C403_3,C416_3,C1034_3
20110823,10.58380952,16.1915,8.252916667,8.635263158,,11.85416667,10.94291667,8.39
20110824,10.6855,23.09083333,7.810833333,8.680769231,,10.9,10.16333333,8.546666667
20110825,12.57958333,19.4575,11.28909091,,,12.05333333,11.68083333,11.93791667
20110826,17.52631579,25.85125,16.22863636,,,18.81416667,17.80086957,16.14
20110827,17.09176471,21.42875,15.53458333,,,15.71333333,16.02666667,13.77333333
20110828,19.3175,25.03083333,16.65875,,,18.13708333,18.29125,16.99958333
20110829,20.520625,27.20791667,16.18583333,,,21.21583333,17.41791667,15.64333333
20110830,25.40315789,36.365,22.03666667,,,24.20041667,22.21208333,20.579
20110831,23.661,34.305,19.2275,,,20.71708333,19.87,20.14291667
20110901,14.957,22.37833333,12.0675,,,12.53416667,14.42583333,6.841666667
20110902,5.404583333,11.8275,6.52875,,,5.145833333,7.794583333,5.112916667
20110903,5.151666667,12.2625,5.847083333,,,4.8825,6.534583333,3.994583333
20110904,6.319166667,12,6.97125,,,6.720869565,9.340952381,6.470833333
20110905,17.74227273,27.48916667,14.63833333,,,16.40541667,18.08541667,12.12583333
20110906,19.17625,19.86083333,11.54666667,,,19.39916667,18.66666667,9.384583333
20110907,11.43625,14.7625,9.953333333,9.337272727,,11.80541667,13.73181818,8.825416667
20110908,13.47454545,11.96833333,12.65541667,12.12958333,,14.67708333,16.4425,13.19125
20110909,16.94625,15.10875,14.50375,14.38916667,,17.52916667,16.65083333,13.80333333
20110910,14.6125,14.53291667,13.71458333,13.41333333,,16.17791667,15.50041667,10.69083333
20110911,13.0852381,12.15458333,10.55045455,10.84666667,,12.79416667,14.28291667,10.99041667
20110912,13.4485,11.97291667,10.69875,12.17,,14.94652174,14.54791667,12.68
20110913,8.576,7.362083333,7.66875,6.987083333,,12.19541667,9.045416667,5.967916667
20110914,8.6095,8.713888889,7.940833333,8.036666667,,12.04166667,9.335833333,7.5025
20110915,15.50166667,14.54291667,14.19166667,13.65083333,,16.80708333,15.895,14.61333333
20110916,18.12708333,17.02291667,16.06958333,15.775,,18.345,17.98708333,18.47416667
20110917,18.63875,16.64791667,17.5926087,17.48125,,19.54666667,17.85041667,18.55958333
20110918,10.52708333,10.15416667,9.36826087,9.174583333,,9.83625,9.930833333,9.575416667
20110919,6.707916667,8.204166667,4.57625,3.975416667,,7.472083333,6.384583333,3.924166667
20110920,10.82916667,9.69125,10.06291667,8.504166667,,11.9375,9.011666667,7.018333333
20110921,13.78958333,12.08416667,12.15541667,10.78,,14.06708333,13.69166667,8.868333333
20110922,18.1725,15.6,18.12083333,16.76666667,,18.72458333,18.29041667,7.94
20110923,12.90166667,12.1855,14.47958333,15.10166667,,12.53125,13.89083333,14.18272727
20110924,17.38208333,15.88764706,16.50708333,16.60416667,,18.37333333,17.1975,
20110925,9.353333333,10.37375,8.90375,9.435,,9.71125,9.612083333,
20110926,5.577142857,5.899130435,5.26625,5.403333333,,7.255,6.27125,
20110927,7.106666667,5.337142857,7.117083333,9.752083333,,8.48375,7.318333333,
20110928,14.14333333,12.476,13.35291667,13.57708333,,16.115,14.375,
20110929,8.347826087,9.536666667,7.396666667,5.093809524,,10.11916667,8.371666667,
20110930,9.106666667,9.43375,10.90666667,9.711666667,,8.890833333,11.28541667,
20120601,13.11583333,9.15375,11.63833333,10.17875,6.169583333,12.33833333,14.99875,9.619583333
20120602,9.42,9.760416667,9.380833333,9.815833333,11.69833333,10.87833333,10.13083333,9.244166667
20120603,6.36375,7.044166667,5.977083333,6.449583333,6.468333333,7.315,6.697083333,6.858333333
20120604,7.8875,8.365416667,7.28375,7.089583333,8.202916667,10.43375,8.224166667,7.40375
20120605,9.765,9.587916667,9.286086957,10.83458333,8.402272727,11.1725,10.29333333,6.879583333
20120606,12.03666667,10.29541667,8.615,7.886666667,9.030833333,12.69375,9.330416667,5.840833333
20120607,10.11181818,10.27666667,12.71708333,12.71291667,9.967083333,11.50875,14.62958333,12.9973913
20120608,9.436,8.5525,10.27291667,9.74375,8.130416667,10.39166667,12.73954545,
20120609,11.36291667,10.26333333,11.30416667,14.07666667,10.3075,11.93125,14.49125,
20120610,8.57375,9.099166667,7.894166667,8.63875,9.01875,8.909166667,9.315416667,
20120611,14.89666667,13.42291667,12.47125,13.98875,13.21333333,16.04478261,16.02,
20120612,16.00208333,14.6875,12.25125,14.78333333,16.19266667,17.53375,16.81458333,
20120613,15.01625,13.68541667,13.78041667,12.735,,15.15041667,16.33416667,
20120614,8.3525,8.096666667,6.722380952,6.825833333,7.81375,11.02708333,8.675,6.835384615
20120615,7.865416667,7.7925,6.516666667,7.010869565,8.145,9.910416667,8.167083333,8.438333333
20120616,10.90458333,9.118333333,8.214166667,8.128333333,7.265,9.4125,9.54375,7.492916667
20120617,11.41291667,10.40916667,8.89125,8.521666667,10.99916667,10.59083333,11.07958333,8.412916667
20120618,9.160416667,7.985,6.970833333,6.576666667,7.885416667,9.251666667,7.783333333,5.952083333
20120619,9.7225,8.119166667,6.42875,7.2475,5.20375,9.081333333,7.539166667,7.611666667
20120620,9.50375,7.27125,6.928333333,7.323333333,5.861666667,10.26041667,7.99125,7.72125
20120621,10.8475,11.11583333,8.614583333,8.434166667,9.63875,11.14333333,11.735,7.452083333
20120622,17.35208333,15.59458333,15.2975,15.28916667,15.48375,17.53458333,16.1675,13.88666667
20120623,20.06125,18.92,17.91125,17.31708333,16.97083333,20.88875,18.71791667,15.07416667
20120624,17.975,16.27875,15.56375,16.69166667,16.08875,19.46681818,17.17541667,17.00333333
20120625,21.24208333,18.72545455,18.08791667,18.5275,17.485,16.94066667,18.83833333,20.39529412
20120626,28.33208333,24.85083333,27.55,22.29666667,24.07666667,24.80333333,26.07791667,25.13916667
20120627,33.805,24.10916667,23.48,22.15409091,20.20541667,24.52875,23.98833333,22.59571429
20120628,35.56666667,19.665,19.28384615,21.51458333,22.0825,24.26416667,18.49583333,17.744
20120629,,15.29416667,12.29958333,12.18166667,15.19208333,18.045,14.585,
20120630,,7.97875,6.158333333,5.559583333,9.556666667,9.26,6.914583333,17.32
20120701,,12.76,13.25625,18.91291667,9.515909091,,14.82,2.8
20120702,,29.18041667,25.82041667,32.0775,24.37,30.10714286,30.83625,
20120703,,22.22375,16.98208333,18.20291667,20.13318182,20.58166667,21.31916667,14.0775
20120704,,19.11625,13.91916667,14.44166667,16.32375,16.43666667,17.42458333,13.11166667
20120705,,15.51291667,10.475,11.06,18.75958333,14.06375,14.26333333,11.39583333
20120706,10.303125,12.445,10.04958333,11.075,11.35791667,12.92458333,12.36333333,13.88583333
20120707,11.94086957,11.28708333,10.52214286,11.72583333,8.355416667,12.0375,11.67416667,10.90333333
20120708,10.12041667,9.13625,7.401818182,7.590833333,7.705833333,10.36666667,9.1,7.592916667
20120709,8.6025,9.300416667,6.463043478,6.9775,7.565833333,9.19375,7.093333333,9.97
20120710,9.644583333,8.918333333,7.705454545,8.410416667,6.92125,11.24375,9.998333333,10.91166667
20120711,12.8275,11.35583333,10.48833333,11.8,7.564583333,13.47291667,12.2625,10.57916667
20120712,10.93458333,10.02625,8.147916667,9.452916667,7.0125,11.06833333,9.98875,8.786666667
20120713,10.51958333,10.13916667,6.882083333,7.904166667,6.575416667,11.54333333,9.44375,8.696956522
20120714,11.315,8.820833333,6.40625,6.902916667,5.31,10.68608696,9.129166667,4.75875
20120715,8.71875,8.171666667,5.848333333,6.763333333,7.182083333,8.955909091,7.44875,5.955833333
20120716,7.14375,10.01041667,5.460416667,6.964090909,7.86375,10.87916667,7.2975,4.662916667
20120717,7.911666667,9.01625,5.666666667,6.671666667,5.785,8.719230769,6.360416667,5.05
20120718,10.38875,10.02666667,7.20875,8.367083333,9.030416667,7.19,8.86625,6.441363636
20120719,11.54541667,9.086666667,8.289583333,9.118333333,8.48125,15.09466667,10.42791667,7.42625
20120720,13.46375,12.43916667,12.67166667,16.4825,9.993333333,19.756,15.39208333,16.045
20120721,22.35166667,21.07875,21.37416667,26.84875,17.83666667,23.76333333,24.39166667,22.77208333
20120722,22.87166667,21.89208333,19.525,23.97375,15.82125,23.67125,24.71666667,20.72083333
20120723,16.57375,19.33347826,13.20083333,15.64041667,16.67291667,16.17666667,15.84333333,12.58666667
20120724,8.632083333,11.39166667,6.882083333,7.480416667,10.26916667,10.0625,9.54125,7.114166667
20120725,8.28125,9.195416667,6.34125,7.367916667,7.259583333,11.18125,8.355217391,6.902083333
20120726,17.61375,19.82166667,15.3575,19.45125,14.635,22.21291667,19.775,18.82041667
