Site/Site AQS/Param/POC,Date (LST),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Average,Max
Hamshire C64/482450022/PM2.5-88101/2,6/27/2019,10,12,9,13,14,7,11,19,12,17,13,19,15,18,13,14,15,9,12,13,14,14,15,14,13.42,19
Hamshire C64/482450022/PM2.5-88101/2,6/28/2019,18,10,13,13,12,10,9,23,28,25,27,22,23,27,20,17,22,24,12,20,17,14,13,12,17.96,28
Hamshire C64/482450022/PM2.5-88101/2,6/29/2019,13,7,6,6,7,6,4,25,11,14,13,5,18,0,2,4,9,5,10,11,5,8,10,8,8.63,25
Hamshire C64/482450022/PM2.5-88101/2,6/30/2019,8,5,6,7,14,7,4,13,11,11,10,8,20,19,-3,14,11,9,10,13,7,8,9,8,9.54,20
Houston Aldine /482010024/PM2.5-88101/4,6/1/2019,5,5,13,10,8,4,5,5,12,10,5,7,9,10,18,23,18,12,15,14,11,13,4,5,10.04,23
Houston Aldine /482010024/PM2.5-88101/4,6/2/2019,4,7,7,4,5,2,3,5,6,8,9,8,8,8,6,8,8,7,5,6,5,10,8,8,6.46,10
Houston Aldine /482010024/PM2.5-88101/4,6/3/2019,3,5,9,7,3,6,8,8,4,7,11,12,12,11,13,9,7,8,11,8,9,3,4,4,7.58,13
Houston Aldine /482010024/PM2.5-88101/4,6/4/2019,6,11,11,12,9,12,5,5,6,9,,5,10,5,9,14,1,4,2,-1,2,8,4,4,6.65,14
Houston Aldine /482010024/PM2.5-88101/4,6/5/2019,11,4,2,4,2,4,2,2,2,1,1,4,0,-1,0,2,1,1,3,2,1,2,2,3,2.29,11
Houston Aldine /482010024/PM2.5-88101/4,6/6/2019,1,2,4,3,3,3,4,6,4,6,6,5,5,2,-2,4,7,3,6,10,6,1,3,3,3.96,10
Houston Aldine /482010024/PM2.5-88101/4,6/7/2019,3,3,1,3,4,3,3,10,12,11,11,7,9,7,7,7,5,5,7,6,5,4,8,5,6.08,12
Houston Aldine /482010024/PM2.5-88101/4,6/8/2019,8,9,13,9,8,8,8,10,4,3,6,7,3,4,5,4,8,2,8,7,9,11,13,11,7.42,13
Houston Aldine /482010024/PM2.5-88101/4,6/9/2019,14,11,11,12,15,14,8,10,14,12,9,18,11,12,12,13,9,8,9,12,12,11,12,16,11.88,18
Houston Aldine /482010024/PM2.5-88101/4,6/10/2019,13,13,11,15,13,13,12,13,11,13,10,8,6,9,7,9,10,7,11,9,10,11,9,9,10.5,15
Houston Aldine /482010024/PM2.5-88101/4,6/11/2019,11,11,12,11,7,7,8,7,6,7,6,9,5,3,6,9,7,5,3,7,9,10,11,8,7.71,12
Houston Aldine /482010024/PM2.5-88101/4,6/12/2019,8,9,5,6,12,12,11,14,11,13,10,12,7,,16,-1,9,8,9,19,17,17,21,21,11.57,21
Houston Aldine /482010024/PM2.5-88101/4,6/13/2019,20,17,22,22,15,24,11,16,15,15,8,11,8,6,7,7,8,11,6,9,8,11,10,15,12.58,24
Houston Aldine /482010024/PM2.5-88101/4,6/14/2019,18,16,17,19,21,22,23,19,15,17,10,17,13,12,12,10,15,10,13,8,7,6,9,9,14.08,23
Houston Aldine /482010024/PM2.5-88101/4,6/15/2019,8,6,6,7,9,6,7,7,9,2,6,10,8,14,5,13,10,14,11,12,9,11,10,11,8.79,14
Houston Aldine /482010024/PM2.5-88101/4,6/16/2019,10,9,12,10,13,12,13,10,19,17,17,28,3,13,10,8,7,13,14,1,2,4,-4,0,10.04,28
Houston Aldine /482010024/PM2.5-88101/4,6/17/2019,2,1,-1,2,3,4,3,3,5,6,10,-2,3,2,6,9,6,12,11,10,11,16,9,5,5.67,16
Houston Aldine /482010024/PM2.5-88101/4,6/18/2019,7,8,6,4,6,4,7,5,5,4,4,7,4,6,9,7,5,8,4,17,13,13,5,5,6.79,17
Houston Aldine /482010024/PM2.5-88101/4,6/19/2019,3,4,0,2,7,4,12,12,10,13,13,19,12,9,12,10,9,6,6,6,3,4,9,12,8.21,19
Houston Aldine /482010024/PM2.5-88101/4,6/20/2019,9,11,10,13,18,10,14,15,9,6,9,7,6,10,11,13,13,13,21,26,19,14,12,10,12.46,26
Houston Aldine /482010024/PM2.5-88101/4,6/21/2019,10,11,11,13,12,11,14,14,14,11,13,15,15,15,15,17,13,16,18,19,22,20,19,17,14.79,22
Houston Aldine /482010024/PM2.5-88101/4,6/22/2019,17,14,14,14,16,12,16,17,21,17,19,14,22,19,12,21,22,21,24,20,17,18,12,12,17.13,24
Houston Aldine /482010024/PM2.5-88101/4,6/23/2019,13,11,13,13,13,10,10,15,15,15,12,-1,14,5,17,12,16,15,17,18,17,17,22,25,13.92,25
Houston Aldine /482010024/PM2.5-88101/4,6/24/2019,25,22,24,18,10,-1,1,6,3,0,1,6,4,7,5,6,6,6,6,8,10,12,16,8,8.71,25
Houston Aldine /482010024/PM2.5-88101/4,6/25/2019,14,14,15,10,13,13,8,9,10,5,11,19,14,7,12,8,8,9,14,11,8,9,8,6,10.63,19
Houston Aldine /482010024/PM2.5-88101/4,6/26/2019,11,8,11,12,10,9,16,13,13,15,22,24,14,12,22,23,17,15,18,13,14,16,14,16,14.92,24
Houston Aldine /482010024/PM2.5-88101/4,6/27/2019,11,11,13,12,14,14,12,22,19,19,23,17,13,-1,7,4,13,11,12,11,11,15,11,15,12.88,23
Houston Aldine /482010024/PM2.5-88101/4,6/28/2019,14,17,12,8,11,12,11,13,22,24,,,26,26,30,35,3,12,24,21,21,20,23,24,18.59,35
Houston Aldine /482010024/PM2.5-88101/4,6/29/2019,21,19,20,18,16,16,18,17,28,16,16,18,,,17,11,12,16,10,7,8,12,14,14,15.64,28
Houston Aldine /482010024/PM2.5-88101/4,6/30/2019,11,9,11,10,5,6,10,5,5,2,4,9,13,9,14,11,14,17,17,14,12,17,17,11,10.54,17
Houston East C1/482011034/PM2.5-88101/1,6/1/2019,6,7,8,9,11,7,8,8,14,8,12,16,17,10,18,8,11,14,10,7,6,6,1,4,9.42,18
Houston East C1/482011034/PM2.5-88101/1,6/2/2019,4,2,5,4,7,4,5,5,9,7,6,8,4,4,5,8,7,4,8,2,3,5,2,0,4.92,9
Houston East C1/482011034/PM2.5-88101/1,6/3/2019,7,3,2,4,3,6,12,9,11,10,12,22,9,11,8,12,3,7,8,4,2,5,0,4,7.25,22
Houston East C1/482011034/PM2.5-88101/1,6/4/2019,2,6,3,3,2,5,1,6,7,9,5,9,4,7,11,12,0,4,-2,0,4,5,0,2,4.38,12
Houston East C1/482011034/PM2.5-88101/1,6/5/2019,3,4,3,8,1,2,6,6,5,8,7,2,5,4,3,4,5,0,1,3,-1,2,2,1,3.5,8
Houston East C1/482011034/PM2.5-88101/1,6/6/2019,2,4,4,2,3,3,1,4,6,9,10,8,4,2,6,8,11,12,9,8,-1,5,4,3,5.29,12
Houston East C1/482011034/PM2.5-88101/1,6/7/2019,5,7,5,3,4,6,6,11,12,13,16,14,9,7,8,9,7,5,9,5,4,5,6,5,7.54,16
Houston East C1/482011034/PM2.5-88101/1,6/8/2019,9,11,11,9,9,12,12,13,10,2,6,8,7,4,7,5,5,7,11,5,9,13,10,12,8.63,13
Houston East C1/482011034/PM2.5-88101/1,6/9/2019,6,9,11,11,16,12,15,17,21,17,19,20,22,20,17,15,10,8,9,7,11,8,12,14,13.63,22
Houston East C1/482011034/PM2.5-88101/1,6/10/2019,12,11,10,13,14,13,12,18,14,11,11,15,10,11,14,10,13,12,8,12,12,10,10,13,12.04,18
Houston East C1/482011034/PM2.5-88101/1,6/11/2019,11,11,11,10,13,8,3,11,6,8,9,21,12,5,9,8,8,8,7,7,6,10,8,7,9.04,21
Houston East C1/482011034/PM2.5-88101/1,6/12/2019,13,9,7,9,11,11,19,18,14,17,13,13,9,8,2,6,9,8,10,10,10,11,14,14,11.04,19
Houston East C1/482011034/PM2.5-88101/1,6/13/2019,12,11,8,10,10,16,20,18,18,12,9,8,9,8,9,14,9,9,7,6,11,12,11,16,11.38,20
Houston East C1/482011034/PM2.5-88101/1,6/14/2019,16,15,14,18,19,17,14,13,11,12,12,12,11,13,10,9,9,11,7,6,8,7,7,8,11.63,19
Houston East C1/482011034/PM2.5-88101/1,6/15/2019,8,7,8,7,5,3,5,8,7,3,9,13,9,10,10,13,12,11,13,11,9,12,13,13,9.13,13
Houston East C1/482011034/PM2.5-88101/1,6/16/2019,10,8,12,13,12,13,11,14,15,18,13,8,15,19,11,14,15,14,15,0,1,7,6,-3,10.88,19
Houston East C1/482011034/PM2.5-88101/1,6/17/2019,4,2,-3,3,3,5,1,2,5,6,4,5,8,10,8,11,14,14,14,12,6,4,1,2,5.88,14
Houston East C1/482011034/PM2.5-88101/1,6/18/2019,4,4,6,8,4,4,10,9,5,9,10,10,5,-1,12,7,6,6,10,12,5,0,4,1,6.25,12
Houston East C1/482011034/PM2.5-88101/1,6/19/2019,3,4,5,2,3,6,6,13,14,13,13,13,9,10,12,10,8,6,10,4,3,5,9,12,8.04,14
Houston East C1/482011034/PM2.5-88101/1,6/20/2019,12,12,15,9,12,13,14,13,10,9,9,11,9,12,11,10,16,18,27,19,14,11,10,12,12.83,27
Houston East C1/482011034/PM2.5-88101/1,6/21/2019,10,10,11,14,12,13,13,12,14,13,12,18,14,20,15,13,19,20,16,17,16,17,19,18,14.83,20
Houston East C1/482011034/PM2.5-88101/1,6/22/2019,12,14,13,12,11,16,15,17,13,15,11,16,17,19,11,22,17,19,16,17,14,14,11,15,14.88,22
Houston East C1/482011034/PM2.5-88101/1,6/23/2019,11,11,12,12,17,9,11,17,15,15,19,16,13,12,13,18,14,13,20,18,18,18,18,20,15,20
Houston East C1/482011034/PM2.5-88101/1,6/24/2019,22,24,20,21,17,-2,0,3,7,6,5,6,5,6,7,7,10,9,9,8,9,11,10,14,9.75,24
